role_id,skill_id,skill_name,category,threshold,penalty
43,275,Backup & Disaster Recovery,knowledge,0.54,0.05
43,325,Fibre Channel/iSCSI,knowledge,0.54,0.05
43,113,NetApp,software,0.48,0.05
35,351,Linux,knowledge,0.54,0.05
35,3,Bash/Shell,Language,0.54,0.05
35,172,Ansible,framework,0.48,0.05
35,68,Docker,software,0.48,0.05
36,155,Windows Server,software,0.54,0.05
36,37,Active Directory & Group Policy,software,0.54,0.05
36,372,"Networking (TCP/IP, DNS, VPN)",knowledge,0.54,0.05
44,351,Linux,software,0.54,0.05
44,286,Cloud Computing (AWS/Azure/GCP),knowledge,0.48,0.05
44,25,Python,Language,0.48,0.05
96,270,Agile/Scrum,knowledge,0.54,0.05
96,401,SDLC,knowledge,0.54,0.05
96,286,Cloud Computing (AWS/Azure/GCP),knowledge,0.48,0.05
96,93,Jira,software,0.48,0.05
88,321,English,Language,0.54,0.05
88,76,Figma,software,0.54,0.05
88,428,User-Centered Design,knowledge,0.54,0.05
88,14,Italian,Language,0.54,0.05
42,151,VMware vSphere,software,0.54,0.05
42,286,Cloud Computing (AWS/Azure/GCP),knowledge,0.54,0.05
42,351,Linux,knowledge,0.48,0.05
42,321,English,knowledge,0.48,0.05
79,282,CVSS,knowledge,0.54,0.05
79,382,Patch Management,knowledge,0.54,0.05
79,128,Qualys,software,0.54,0.05
25,158,WordPress Core,software,0.54,0.05
25,13,HTML/CSS,Language,0.54,0.05
25,22,PHP,Language,0.54,0.05
25,16,JavaScript,Language,0.54,0.05
